Bus,Tramo,Estación Origen,Estación Destino
4B,129,AV. Chile,NQS – Calle 75
4B,130,NQS – Calle 75,Escuela Militar
4B,131,Escuela Militar,Polo - Fincomercio
4B,132,Polo - Fincomercio,Héroes – Gelhada
5A,133,Portal Américas,Biblioteca Tintal
5A,134,Biblioteca Tintal,Transversal 86
5A,135,Transversal 86,Banderas
5A,136,Banderas,Mandalay
5A,137,Mandalay,AV. Américas - AV. Boyacá
5A,138,AV. Américas - AV. Boyacá,Marsella
5A,139,Marsella,Pradera - Plaza Central
5A,140,Pradera - Plaza Central,Distrito Grafiti
5A,141,Distrito Grafiti,Puente Aranda
5A,142,Puente Aranda,Carrera 43 - COMAPAN
5A,143,Carrera 43 - COMAPAN,Zona Industrial
5A,144,Zona Industrial,CDS - Carrera 32
5A,145,CDS - Carrera 32,Ricaurte
5A,146,Ricaurte,San Facon - KR. 22
5A,147,San Facon - KR. 22,De La Sabana
5A,148,De La Sabana,AV. Jiménez
5A,149,AV. Jiménez,Calle 19
5A,150,Calle 19,Calle 22
5B,151,Calle 22,Calle 19
5B,152,Calle 19,AV. Jiménez
5B,153,AV. Jiménez,De La Sabana
5B,154,De La Sabana,San Facon - KR. 22
5B,155,San Facon - KR. 22,Ricaurte
5B,156,Ricaurte,CDS - Carrera 32
5B,157,CDS - Carrera 32,Zona Industrial
5B,158,Zona Industrial,Carrera 43 - COMAPAN
5B,159,Carrera 43 - COMAPAN,Puente Aranda
5B,160,Puente Aranda,Distrito Grafiti
5B,161,Distrito Grafiti,Pradera - Plaza Central
5B,162,Pradera - Plaza Central,Marsella
5B,163,Marsella,AV. Américas - AV. Boyacá
5B,164,AV. Américas - AV. Boyacá,Mandalay
5B,165,Mandalay,Banderas
5B,166,Banderas,Transversal 86
5B,167,Transversal 86,Biblioteca Tintal
5B,168,Biblioteca Tintal,Portal Américas
6A,169,Universidades - City U,Calle 34
6A,170,Calle 34,Avenida 39
6A,171,Avenida 39,Calle 45 - American School Way
6A,172,Calle 45 - American School Way,Calle 57
6A,173,Calle 57,Flores - Areandina
6A,174,Flores - Areandina,Calle 76 - San Felipe
6A,175,Calle 76 - San Felipe,Polo - Fincomercio
6A,176,Polo - Fincomercio,Escuela Militar
6A,177,Escuela Militar,Carrera 47
6A,178,Carrera 47,Carrera 53
6A,179,Carrera 53,Avenida 68
6A,180,Avenida 68,Ferias
6A,181,Ferias,Boyacá
6A,182,Boyacá,Minuto De Dios
6A,183,Minuto De Dios,Granja - Carrera 77
6A,184,Granja - Carrera 77,Avenida Cali
6A,185,Avenida Cali,Carrera 90
6A,186,Carrera 90,Quirigua
6A,187,Quirigua,Portal de la 80
6B,188,Portal de la 80,Quirigua
6B,189,Quirigua,Carrera 90
6B,190,Carrera 90,Avenida Cali
6B,191,Avenida Cali,Granja - Carrera 77
6B,192,Granja - Carrera 77,Minuto De Dios
6B,193,Minuto De Dios,Boyacá
6B,194,Boyacá,Ferias
6B,195,Ferias,Avenida 68
6B,196,Avenida 68,Carrera 53
6B,197,Carrera 53,Carrera 47
6B,198,Carrera 47,Escuela Militar
6B,199,Escuela Militar,Polo - Fincomercio
6B,200,Polo - Fincomercio,Calle 76 - San Felipe
6B,201,Calle 76 - San Felipe,Flores - Areandina
6B,202,Flores - Areandina,Calle 57
6B,203,Calle 57,Calle 45 - American School Way
6B,204,Calle 45 - American School Way,Avenida 39
6B,205,Avenida 39,Calle 34
6B,206,Calle 34,Universidades - City U
7A,207,Portal Suba,La Campiña
7A,208,La Campiña,Suba - TV. 91
7A,209,Suba - TV. 91,21 Ángeles
7A,210,21 Ángeles,Gratamira
7A,211,Gratamira,Suba - AV. Boyacá
7A,212,Suba - AV. Boyacá,Niza - CL 127
7A,213,Niza - CL 127,Humedal Córdoba
7A,214,Humedal Córdoba,Shaio
7A,215,Shaio,Puentelargo
7A,216,Puentelargo,Suba - CL 100
7A,217,Suba - CL 100,Suba - CL 95
7A,218,Suba - CL 95,Rionegro
7A,219,Rionegro,San Martín
7A,220,San Martín,NQS – Calle 75
7A,221,NQS – Calle 75,Polo - Fincomercio
7B,222,Polo - Fincomercio,NQS – Calle 75
7B,223,NQS – Calle 75,San Martín
7B,224,San Martín,Rionegro
7B,225,Rionegro,Suba - CL 95
7B,226,Suba - CL 95,Suba - CL 100
7B,227,Suba - CL 100,Puentelargo
7B,228,Puentelargo,Shaio
7B,229,Shaio,Humedal Córdoba
7B,230,Humedal Córdoba,Niza - CL 127
7B,231,Niza - CL 127,Suba - AV. Boyacá
7B,232,Suba - AV. Boyacá,Gratamira
7B,233,Gratamira,21 Ángeles
7B,234,21 Ángeles,Suba - TV. 91
7B,235,Suba - TV. 91,La Campiña
7B,236,La Campiña,Portal Suba
8A,237,Guatoque - Veraguas,Tygua - San José
8A,238,Tygua - San José,Tercer Milenio
8A,239,Tercer Milenio,AV. Jiménez
8A,240,AV. Jiménez,Calle 19
8A,241,Calle 19,Calle 22
8A,242,Calle 22,Calle 34
8A,243,Calle 34,Avenida 39
8A,244,Avenida 39,Calle 45 - American School Way
8A,245,Calle 45 - American School Way,Calle 57
